Friendly Name,Current Entity ID,New Entity ID
Air temperature,sensor.smoke_dg_flur_air_temperature,
Battery level,sensor.smoke_dg_flur_battery_level,
Home Security Motion sensor status,sensor.smoke_sz_home_security_motion_sensor_status,
Low battery level,binary_sensor.smoke_dg_flur_low_battery_level,
Node Status,sensor.smoke_dg_flur_node_status,
Rauchmelder Büro Air temperature,sensor.smoke_buero_air_temperature,
Rauchmelder Büro Basic,light.smoke_buero_basic,
Rauchmelder Büro Battery level,sensor.smoke_buero_battery_level,
Rauchmelder Büro Low battery level,binary_sensor.smoke_buero_low_battery_level,
Rauchmelder Büro Replace battery soon,binary_sensor.smoke_buero_replace_battery_soon,
Rauchmelder Büro Smoke alarm test,binary_sensor.smoke_buero_smoke_alarm_test,
Rauchmelder Büro Smoke detected,binary_sensor.smoke_buero_smoke_detected,
Rauchmelder Büro Status des Knotens,sensor.smoke_buero_status_des_knotens,
Rauchmelder Büro System hardware failure,binary_sensor.smoke_buero_system_hardware_failure,
Rauchmelder Büro Zuletzt gesehen,sensor.smoke_buero_zuletzt_gesehen,
Rauchmelder DG Flur: System - System hardware failure,binary_sensor.smoke_dg_flur_system_system_hardware_failure,
Rauchmelder EZ Air temperature,sensor.smoke_ez_air_temperature,
Rauchmelder EZ Battery level,sensor.smoke_ez_battery_level,
Rauchmelder EZ Low battery level,binary_sensor.smoke_ez_low_battery_level,
Rauchmelder EZ Replace battery soon,binary_sensor.smoke_ez_replace_battery_soon,
Rauchmelder EZ Smoke alarm test,binary_sensor.smoke_ez_smoke_alarm_test,
Rauchmelder EZ Smoke detected,binary_sensor.smoke_ez_smoke_detected,
Rauchmelder EZ Status des Knotens,sensor.smoke_ez_status_des_knotens,
Rauchmelder EZ System hardware failure,binary_sensor.smoke_ez_system_hardware_failure,
Rauchmelder EZ Zuletzt gesehen,sensor.smoke_ez_zuletzt_gesehen,
Rauchmelder Lyd,sensor.smoke_lydi_battery_level,
Rauchmelder Lydi: Air temperature,sensor.smoke_lydi_air_temperature,
Rauchmelder Lydi: Heat Alarm - Heat sensor status,sensor.smoke_lydi_heat_alarm_heat_sensor_status,
Rauchmelder Lydi: Home Security - Cover status,sensor.smoke_lydi_home_security_cover_status,
"Rauchmelder Lydi: Home Security - Tampering, product cover removed",binary_sensor.smoke_lydi_home_security_tampering_product_cover_removed,
Rauchmelder Lydi: Low battery level,binary_sensor.smoke_lydi_low_battery_level,
